"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16868","SortField: name, sortOrder: asc","sales-portal-api","Sat Dec 13 22:24:35 UTC 2025","failed","Sat Dec 13 22:24:52 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","2543","success","sales-portal-api","Sat Dec 13 22:22:59 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","Delete customer > positive","","",""
"","161","Create a customer with invalid token","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","4983","Update a customer with field phone","sales-portal-api","Sat Dec 13 22:23:25 UTC 2025","passed","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","2649","Update a customer with invalid token","sales-portal-api","Sat Dec 13 22:23:12 UTC 2025","passed","Sat Dec 13 22:23:15 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","6482","Update product with valid data: name with max valid length","sales-portal-api","Sat Dec 13 22:25:12 UTC 2025","passed","Sat Dec 13 22:25:19 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6451","Update product with valid data: empty notes","sales-portal-api","Sat Dec 13 22:25:18 UTC 2025","passed","Sat Dec 13 22:25:25 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","0","Add comment with min valid length (1 symbol)","sales-portal-api","Sat Dec 13 22:23:23 UTC 2025","skipped","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","3857","Update product with invalid data: amount is not a number","sales-portal-api","Sat Dec 13 22:25:08 UTC 2025","passed","Sat Dec 13 22:25:12 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","4000","Update product without token","sales-portal-api","Sat Dec 13 22:24:56 UTC 2025","passed","Sat Dec 13 22:25:00 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","374","Create customer with invalid country data type","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:22:58 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","3561","Create product with 3 characters value in product name","sales-portal-api","Sat Dec 13 22:23:45 UTC 2025","passed","Sat Dec 13 22:23:48 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6679","Update product with invalid data: notes with > symbol","sales-portal-api","Sat Dec 13 22:25:11 UTC 2025","passed","Sat Dec 13 22:25:17 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","26808","Update an order without authorization token","sales-portal-api","Sat Dec 13 22:23:33 UTC 2025","passed","Sat Dec 13 22:24:00 UTC 2025","[API] [Sales Portal] [Orders] > [Update Negative]","","",""
"","120","Get order by valid without auth token","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","passed","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Get Oreder By Id]","","",""
"","159","Get orders for non-existent customer","sales-portal-api","Sat Dec 13 22:23:05 UTC 2025","passed","Sat Dec 13 22:23:05 UTC 2025","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","159","invalid id","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","Delete customer > negative","","",""
"","6679","Update product with invalid data: amount more than max valid","sales-portal-api","Sat Dec 13 22:25:06 UTC 2025","passed","Sat Dec 13 22:25:13 UTC 2025","[API] [Sales Portal] [Products]","","",""
